醫事機構代碼,醫事機構名稱,主責機構註記,醫事機構地址,醫事機構電話,生效起日,生效迄日,整合團隊代碼,整合團隊名稱
0101090517,臺北市立聯合醫院,V,臺北市大同區鄭州路１４５號（代表）,(02)25553000,20160301,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
0102020011,高雄市立聯合醫院,,高雄市鼓山區中華一路９７６號,(07)5552565,20170303,29101231,HM02070002,高聯醫
0102080017,高雄市立民生醫院,V,高雄市苓雅區凱旋二路１３４號,(07)7511131,20170110,29101231,HM02080003,高雄民生醫院
0107340027,高雄市立大同醫院,V,高雄市前金區中華三路６８號,(07)2911101,20250101,29101231,HM07340001,高雄市立大同醫院
0111070010,衛生福利部基隆醫院,V,基隆市信義區信二路２６８號,(02)24292525,20160428,29101231,HM11070001,部基居家醫療照護小組
0117030010,衛生福利部臺中醫院,V,臺中市西區三民路一段１９９號,(04)22294411,20171108,29101231,HM17030003,晏居
0121050011,衛生福利部臺南醫院,V,臺南市中西區中山路１２５號,(06)2200055,20160420,29101231,HM21050001,部立臺南醫院居家醫療照護整合團隊
0122020517,衛生福利部嘉義醫院,V,嘉義市西區北港路３１２號,(05)2319090,20160315,29101231,HM22020001,全方位居家醫療服務
0131020016,新北市立聯合醫院,V,新北市三重區新北大道１段３號、３之１號、板橋區英士路１９８號,(02)29829111,20160919,29101231,HM31020001,新北聯醫
0131060010,衛生福利部樂生療養院,V,新北市新莊區中正路７９４號及桃園縣龜山鄉萬壽路１段５０巷２號,(02)82006600,20180301,29101231,HM31060003,樂生照護團隊
0131060029,衛生福利部臺北醫院,,新北市新莊區思源路１２７號、新北巿新莊區長青街６號２樓、３樓,(02)22765566,20180607,29101231,HM31030002,安康喜樂居家醫療照護團隊
0131060029,衛生福利部臺北醫院,V,新北市新莊區思源路１２７號、新北巿新莊區長青街６號２樓、３樓,(02)22765566,20180626,29101231,HM31060005,衛生福利部臺北醫院居家整合醫療照護團隊
0132010014,衛生福利部桃園醫院,V,桃園市桃園區中山路１４９２號,(03)3699721,20160606,29101231,HM32010003,桃醫居家醫療團隊
0132110519,衛生福利部桃園醫院新屋分院,,桃園市新屋區新屋村１４鄰新福二路６號,(03)4971989,20170414,29101231,HM32010003,桃醫居家醫療團隊
0135010016,衛生福利部苗栗醫院,V,苗栗縣苗栗市為公路７４７號,(037)261920,20170329,29101231,HM35010003,衛生福利部苗栗醫院居家醫療團隊
0136010010,衛生福利部豐原醫院,V,臺中市豐原區安康路１００號,(04)25271180,20170807,29101231,HM36010003,豐原醫院居家醫療
0136010010,衛生福利部豐原醫院,,臺中市豐原區安康路１００號,(04)25271180,20220111,29101231,HM36010004,豐之采
0137170515,衛生福利部彰化醫院,V,彰化縣埔心鄉中正路二段８０號,(04)8298686,20170928,29101231,HM37170001,衛生福利部彰化醫院
0138010027,衛生福利部南投醫院,V,南投縣南投市康壽里復興路４７８號,(049)2231150,20160613,29101231,HM38010001,衛生福利部南投醫院
0138010027,衛生福利部南投醫院,,南投縣南投市康壽里復興路４７８號,(049)2231150,20190109,29101231,HM03190002,長安醫院居家醫療照護團隊
0140010028,衛生福利部朴子醫院,V,嘉義縣朴子市永和里４２－５０號,(05)3790600,20170627,29101231,HM40010002,衛生福利部朴子醫院
0141010013,衛生福利部新營醫院,V,臺南市新營區信義街７３號,(06)6351131,20160614,29101231,HM41010001,衛生福利部新營醫院
0141060513,衛生福利部臺南醫院新化分院,,臺南市新化區那拔里牧場７２號,(06)5911929,20160608,29101231,HM21050001,部立臺南醫院居家醫療照護整合團隊
0142030019,衛生福利部旗山醫院,V,高雄市旗山區大德里中學路６０號、東新街２５巷８號１－２樓,(07)6613811,20160512,29101231,HM42030001,旗山區居家醫療照護團隊
0143010011,衛生福利部屏東醫院,V,屏東縣屏東市自由路２７０號,(08)7363011,20160613,29101231,HM43010003,衛生福利部屏東醫院
0143040019,衛生福利部恆春旅遊醫院,V,屏東縣恆春鎮山腳里恆南路１８８、１８８—１號,(08)8892704,20190401,29101231,HM43040002,國境之南居家醫療照護團隊
0144010015,衛生福利部澎湖醫院,V,澎湖縣馬公市啟明里中正路１０號,(06)9261151,20160812,29101231,HM44010001,部澎居家醫療整合照護團隊
0145010019,衛生福利部花蓮醫院,V,花蓮縣花蓮市中正路６００號,(03)8358141,20160701,29101231,HM45010001,花蓮醫院暨豐濱原住民分院居家醫療群
0145080011,衛生福利部花蓮醫院豐濱原住民分院,,花蓮縣豐濱鄉豐濱村光豐路４１號,(03)8791385,20160701,29101231,HM45010001,花蓮醫院暨豐濱原住民分院居家醫療群
0146010013,衛生福利部臺東醫院,V,臺東縣臺東市五權街１號,(089)324112,20160527,29101231,HM46010002,安家居
0146020537,衛生福利部臺東醫院成功分院,,臺東縣成功鎮中山東路３２號,(089)324112,20180327,29101231,HM46010002,安家居
0190030516,衛生福利部金門醫院,V,金門縣金湖鎮復興路２號、烈嶼鄉上林村后井３７號（烈嶼院區）,(082)332546,20160422,29101231,HM90030001,金門醫院居家醫療團隊
0211070012,基隆市立醫院,,基隆市信義區東信路２８２號，中正區義二路２巷６號,(02)24652141,20250307,29101231,HM11060001,基隆長庚紀念醫院居家照護團隊
0291010010,連江縣立醫院,,連江縣南竿鄉復興村２１７號,(083)623995,20200501,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
0401180014,國立臺灣大學醫學院附設醫院,V,臺北市中正區中山南路７、８號；常德街１號,(02)23123456,20240412,29101231,HM01180002,臺大醫院居家醫療團隊
0401190010,國立臺灣大學醫學院附設醫院北護分院,V,臺北市萬華區康定路３７號、臺北市萬華區內江街８７號,(02)23717101,20170306,29101231,HM01190002,護齡居家醫療照護團隊
0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,V,新竹市北區金華里經國路一段442巷25號,(03)5326151,20170616,29101231,HM12040002,臺大心築
0421040011,國立成功大學醫學院附設醫院,V,臺南市北區勝利路１３８號,(06)2353535,20170701,29101231,HM21040001,成大醫院居家醫療整合照護團隊
0431270012,國立臺灣大學醫學院附設醫院金山分院,V,新北市金山區五湖里玉爐路７號,(02)24989898,20160511,29101231,HM31270001,國立臺灣大學醫學院附設醫院金山分院團隊
0433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,,新竹縣竹北市生醫路一段２號,(03)6677600,20220101,29101231,HM12040001,馨友
0433050018,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,,新竹縣竹北市生醫路一段２號,(03)6677600,20220101,29101231,HM33030001,馨愛
0434010518,國立陽明交通大學附設醫院,V,宜蘭縣宜蘭市校舍路１６９號、新民路１５２號,(03)9325192,20160920,29101231,HM34010001,陽大居家醫療照護團隊
0439010518,國立臺灣大學醫學院附設醫院雲林分院,V,雲林縣斗六市雲林路二段５７９號,(05)5323911,20160801,29101231,HM39010001,國立臺灣大學醫學院附設醫院雲林分院團隊
0439010527,國立成功大學醫學院附設醫院斗六分院,V,雲林縣斗六市莊敬路３４５號,(05)5332121,20170713,29101231,HM39010002,成大醫院斗六分院
0501010019,三軍總醫院松山分院附設民眾診療服務處,,臺北市松山區健康路１３１號,(02)27642151,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
0501110514,三軍總醫院附設民眾診療服務處,V,臺北市內湖區成功路２段３２５號,(02)87923311,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
0502030015,國軍左營總醫院附設民眾診療服務處,V,高雄市左營區合群里軍校路５５３號,(07)5817121,20160728,29101231,HM02030001,國軍左營醫院
0502080015,國軍高雄總醫院附設民眾診療服務處,V,高雄市苓雅區建軍路５號,(07)7496751,20160728,29101231,HM02080001,國高總
0512040014,國軍桃園總醫院新竹分院附設民眾診療服務處,,新竹市北區武陵路３號,(03)5348181,20180516,29101231,HM12040003,國軍新竹地區醫院
0517050010,國軍臺中總醫院中清分院附設民眾診療服務處,,臺中市北區忠明路５００號,(04)22037320,20220101,29101231,HM36190002,國軍台中總醫院附設民眾診療服務處
0532090029,國軍桃園總醫院附設民眾診療服務處,V,桃園市龍潭區中興里中興路１６８號,(03)4799595,20170221,29101231,HM32090001,桃總居家醫療照護
0536190011,國軍臺中總醫院附設民眾診療服務處,,臺中市太平區中山路２段３４８號,(04)23934191,20170616,29101231,HM36190002,國軍台中總醫院附設民眾診療服務處
0536190011,國軍臺中總醫院附設民眾診療服務處,V,臺中市太平區中山路２段３４８號,(04)23934191,20200408,29101231,HM36190002,國軍台中總醫院附設民眾診療服務處
0542020011,國軍左營總醫院岡山分院附設民眾診療服務處,,高雄市岡山區大義二路１號,(07)6250919,20180427,29101231,HM02080001,國高總
0543010019,國軍高雄總醫院屏東分院附設民眾診療服務處,,屏東縣屏東市大湖路５８巷２２號,(08)7560756,20160728,29101231,HM02080001,國高總
0543010019,國軍高雄總醫院屏東分院附設民眾診療服務處,,屏東縣屏東市大湖路５８巷２２號,(08)7560756,20180130,29101231,HM43010002,屏東基督教醫院
0544010031,三軍總醫院澎湖分院附設民眾診療服務處,V,澎湖縣馬公市前寮里９０號１－５樓,(06)9211116,20180403,29101231,HM44010003,三軍總醫院澎湖分院附設民眾診療服務處
0545040515,國軍花蓮總醫院附設民眾診療服務處,V,花蓮縣新城鄉嘉里路１６３號,(03)8263151,20181225,29101231,HM45040001,國軍花蓮總醫院居家醫療照護整合團隊
