醫事機構名稱,醫事機構地址,醫事機構電話,改善方案項目,試辦計畫生效起日,試辦計畫生效迄日
衛生福利部臺南醫院附設居家護理所,臺南市中西區中山路１２５號２樓(門診大樓),(06)2200055,呼吸照護-居家照護,20110518,29101231
同仁院醫療財團法人附設居家護理所,臺北市萬華區中華路２段６０６巷６號６樓,(02)23059292,呼吸照護-居家照護,20241112,29101231
奇美醫療財團法人附設佳里奇美居家護理所,臺南市佳里區公園路８２號１樓,(06)7263333,呼吸照護-居家照護,20110907,29101231
義大醫療財團法人附設義大護理之家,高雄市燕巢區義大路２１號１３樓之２,(07)6150288(6),呼吸照護-居家照護,20171106,29101231
財團法人台灣省私立桃園仁愛之家附設新竹新生醫院康護居家護理所,新竹市北區興南里西門街１２０號１樓,(03)5222637,呼吸照護-居家照護,20190107,29101231
迦和居家護理所,臺北市中山區新生北路３段３４號８樓之４,(02)25084955,呼吸照護-居家照護,20200902,29101231
台南市立醫院(委託秀傳醫療社團法人經營)附設居家護理所,臺南市東區崇德路６７０號,(06)2609926,呼吸照護-居家照護,20170801,29101231
醫療財團法人臺灣區煤礦業基金會附設八堵居家護理,基隆市暖暖區源遠路２９號,(02)24579101,呼吸照護-居家照護,20140506,29101231
仁德醫療社團法人附設護理之家,嘉義市西區林森西路２８５號,(05)2258279,呼吸照護-居家照護,20141231,29101231
板橋中興醫院附設居家護理所,新北市板橋區忠孝路２８號５樓,(02)89512388,呼吸照護-居家照護,20130312,29101231
東元醫療社團法人附設居家護理所,新竹縣竹北市縣政二路６９號,(03)5527000,呼吸照護-居家照護,20190101,29101231
李綜合醫療社團法人附設大甲居家護理所,臺中市大甲區八德街２號,(04)26862288,呼吸照護-居家照護,20180110,29101231
新興醫療社團法人附設居家護理所,臺南市新營區中興路１０號１樓,(06)6331900,呼吸照護-居家照護,20100125,29101231
南門醫療社團法人附設南門居家護理所,屏東縣恆春鎮南門路１４巷１２號,(08)8894565,呼吸照護-居家照護,20160201,29101231
博仁綜合醫院附設居家護理所,臺北市松山區光復北路６６號６樓,(02)25778107,呼吸照護-居家照護,20131220,29101231
安歆居家護理所,臺北市中山區松江路５０號３樓,(02)25372586,呼吸照護-居家照護,20180523,29101231
全心居家護理所,臺北市內湖區石潭路２７號３樓之２,(02)27956926,呼吸照護-居家照護,20220513,29101231
信慈居家護理所,臺北市信義區忠孝東路５段４１０號７樓,(02)87803099,呼吸照護-居家照護,20201102,29101231
泰安居家護理所,臺北市中正區泉州街１４－１號,(02)25375633,呼吸照護-居家照護,20201113,29101231
永愛居家護理所,臺北市中正區福州街１號１０樓之２,(02)23711959,呼吸照護-居家照護,20211101,29101231
愛吾愛居家護理所,臺北市萬華區大理街１７１－１號２樓２０８室,(02)23087286,呼吸照護-居家照護,20180328,29101231
長安醫院附設居家護理所,臺中市太平區永平路一段９號６樓,(04)36113678,呼吸照護-居家照護,20170119,29101231
宜昌居家護理所,臺中市太平區宜昌路５１０巷１５號１樓,(04)22732551,呼吸照護-居家照護,20181101,29101231
中山醫學大學附設醫院附設護理之家,臺中市西區中山路５０１號１－６樓,(04)22062100,呼吸照護-居家照護,20151005,29101231
中山醫學大學附設醫院附設居家護理所,臺中市西區中山路５００號１樓,(04)22062100,呼吸照護-居家照護,20190102,29101231
慈康居家護理所,臺中市北區英才路３９６號５樓之４,(04)23269828,呼吸照護-居家照護,20150622,29101231
澄清綜合醫院中港分院附設居家護理所,臺中市西屯區福康路８號６樓,(04)24632000,呼吸照護-居家照護,20171226,29101231
康群居家護理所,臺中市西屯區西墩里０２４鄰黎明路三段３４８號８樓Ａ室,(04)23238561,呼吸照護-居家照護,20240816,29101231
德安居家護理所,臺中市南屯區文心路一段３０６號４樓之１,(04)23200345,呼吸照護-居家照護,20120215,29101231
健康居家護理所,臺中市北屯區平德里００６鄰天津路三段６７號２樓２０５室,(04)24374149,呼吸照護-居家照護,20151230,29101231
宜松居家護理所,臺南市新營區隋唐街２９５巷４１弄２１號１樓,(06)6565067,呼吸照護-居家照護,20120611,29101231
健新居家護理所,臺南市仁德區德善路２５１巷1號１樓,(06)2700230,呼吸照護-居家照護,20110614,29101231
宜康居家護理所,臺南市仁德區二空路６６號１樓,(06)2609105,呼吸照護-居家照護,20191101,29101231
荷園居家護理所,臺南市永康區復國路５０號５樓之３,(06)3120072,呼吸照護-居家照護,20160330,29101231
佳安居家護理所,臺南市東區富農街一段２８２號１－２樓,(06)2908861,呼吸照護-居家照護,20190211,29101231
