照護團隊名稱／諮詢電話,醫事機構名稱,醫事機構電話,醫事機構地址,居家醫療醫療,重度居家醫療,安寧居家療護,居家呼吸照護,居家中醫醫療,居家藥事照護,在宅急症照護,近三個月有收案
臺大醫院居家醫療團隊,國立臺灣大學醫學院附設醫院,02-23123456,臺北市中正區中山南路７、８號；常德街１號（地圖),1,1,1,,,,1,1
臺大心築,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,03-5326151,新竹市北區金華里經國路一段442巷25號（地圖),1,,,,,,1,1
03-5326151#4010,,,,,,,,,,,
成大醫院居家醫療整合照護團隊,國立成功大學醫學院附設醫院,06-2353535,臺南市北區勝利路１３８號（地圖),1,,1,,,1,1,1
06-2353535-7058,,,,,,,,,,,
2353535-4588,,,,,,,,,,,
06-2353535-3992,,,,,,,,,,,
三軍總醫院居家醫療團隊,三軍總醫院附設民眾診療服務處,02-87923311,臺北市內湖區成功路２段３２５號（地圖),1,,1,,1,,1,
(02)87923311#88171,,,,,,,,,,,
臺北榮民總醫院居家醫療照護團隊,臺北榮民總醫院,02-28712121,臺北市北投區石牌路２段２０１號（地圖),1,,1,,1,,1,1
28757458,,,,,,,,,,,
28757460,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,高雄榮民總醫院,07-3422121,高雄市左營區大中一路３８６號（地圖),1,,,,1,1,1,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
臺中榮民總醫院,臺中榮民總醫院,04-23592525,臺中市西屯區臺灣大道４段１６５０號（地圖),1,,,,,,1,1
23592525#3817,,,,,,,,,,,
,,,,,,,,,,,
健康,,,,,,,,,,,
(04)2235-1685,,,,,,,,,,,
,,,,,,,,,,,
晏居,,,,,,,,,,,
0422294411#6222,,,,,,,,,,,
,,,,,,,,,,,
豐之采,,,,,,,,,,,
04-25254607,,,,,,,,,,,
林口、桃園長庚紀念醫院居家照護團隊,長庚醫療財團法人台北長庚紀念醫院,02-27135211,臺北市松山區敦化北路１９９、１９７號、１９９巷６號、民生東路（地圖),1,,,,1,,,1
03-3281200#8621,,,,,,,,,,,
,,,,,,,,,,,
馨安居家醫療團隊,,,,,,,,,,,
975381210,,,,,,,,,,,
975381296,,,,,,,,,,,
國泰綜合醫院居家醫療照護團隊,國泰醫療財團法人國泰綜合醫院,02-27082121,臺北市大安區仁愛路４段２８０號，２６６巷６號（地圖),1,,,,,,1,1
983063911,,,,,,,,,,,
馬偕好厝邊居家醫療照護團隊,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,02-25433535,臺北市中山區中山北路２段９２號（地圖),1,1,1,,,,1,1
25433535-3450,,,,,,,,,,,
新光醫院居家醫療照護團隊,新光醫療財團法人新光吳火獅紀念醫院,02-28332211,臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號（地圖),1,,,,1,,1,
02-28389393,,,,,,,,,,,
,,,,,,,,,,,
安康喜樂居家醫療照護團隊,,,,,,,,,,,
02-29633312,,,,,,,,,,,
02-29633312,,,,,,,,,,,
(02)2922-8000,,,,,,,,,,,
亞東居醫團隊,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,02-89667000,新北市板橋區南雅南路２段２１號及高爾富路３００號（地圖),1,,1,,,,1,1
02-77281911,,,,,,,,,,,
台北慈院居家醫療照護整合團隊,佛教慈濟醫療財團法人台北慈濟醫院,02-66289779,新北市新店區建國路２８９號（地圖),1,,1,,1,,1,1
66289770*3546,,,,,,,,,,,
,,,,,,,,,,,
新北市平溪區衛生所照護團隊,,,,,,,,,,,
(02)2495-1015,,,,,,,,,,,
馬偕好厝邊居家醫療照護團隊,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,02-28094661,新北市淡水區民生路４５號、民權路４７號B１至１０樓（地圖),1,,1,,,,1,1
25433535-3450,,,,,,,,,,,
林口、桃園長庚紀念醫院居家照護團隊,長庚醫療財團法人林口長庚紀念醫院,03-3281200,桃園市龜山區公西里復興街５號、５之７號及文化一路１５號（地圖),1,1,,,1,,1,1
03-3281200#8621,,,,,,,,,,,
,,,,,,,,,,,
馨安居家醫療團隊,,,,,,,,,,,
975381210,,,,,,,,,,,
975381296,,,,,,,,,,,
彰聯居家醫療整合照護團隊,彰化基督教醫療財團法人彰化基督教醫院,04-7238595,彰化縣彰化市南校街135號、中華路176號、旭光路235、320號（地圖),1,,1,,1,1,1,1
04-7238595*4510,,,,,,,,,,,
04-7238595*4510,,,,,,,,,,,
04-7238595*4510,,,,,,,,,,,
奇美醫院居家醫療照護整合計畫團隊,奇美醫療財團法人奇美醫院,06-2812811,臺南市永康區中華路９０１號、臺南市南區樹林街二段４４２號（地圖),1,,1,,1,1,1,1
06-7263333#36060,,,,,,,,,,,
高雄長庚居家照護團隊醫療,長庚醫療財團法人高雄長庚紀念醫院,07-7317123,高雄市鳥松區大埤路１２３號（地圖),1,,,,1,,1,1
07-7317123#2825,,,,,,,,,,,
07-7317123#3682,,,,,,,,,,,
978839819,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,義大醫療財團法人義大醫院,07-6150011,高雄市燕巢區角宿里義大路１號（地圖),1,,,,,,1,1
975106472,,,,,,,,,,,
花蓮慈濟居家醫療整合團隊,佛教慈濟醫療財團法人花蓮慈濟醫院,03-8561825,花蓮縣花蓮市中央路３段７０７號（地圖),1,,1,,1,,1,1
03-8561825#12405,,,,,,,,,,,
,,,,,,,,,,,
花蓮居家醫療照護團隊,,,,,,,,,,,
0932-143725,,,,,,,,,,,
,,,,,,,,,,,
國軍花蓮總醫院居家醫療照護整合團隊,,,,,,,,,,,
